,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,in_iM,y_ome
b0085,murE,U00096.3,,93166,94653,+,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,Cell wall/membrane/envelope biogenesis,P22188,Op85,"RpoD,LexA,MraZ,PdhR",False,False
b0086,murF,U00096.3,,94650,96008,+,D-alanyl-D-alanine-adding enzyme,Cell wall/membrane/envelope biogenesis,P11880,Op86,"RpoD,LexA,MraZ,PdhR",True,False
b0087,mraY,U00096.3,,96002,97084,+,phospho-N-acetylmuramoyl-pentapeptide-transferase,Cell wall/membrane/envelope biogenesis,P0A6W3,Op87,"RpoD,LexA,MraZ,PdhR",False,False
b0088,murD,U00096.3,,97087,98403,+,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,Cell wall/membrane/envelope biogenesis,P14900,Op88,"RpoD,YidZ,LexA,MraZ,PdhR,GlaR",False,False
b0089,ftsW,U00096.3,,98403,99647,+,peptidoglycan glycosyltransferase FtsW,"Cell cycle control, cell division, chromosome partitioning",P0ABG4,Op89,"RpoD,LexA,MraZ,PdhR",False,False
b0090,murG,U00096.3,,99644,100711,+,N-acetylglucosaminyl transferase,Cell wall/membrane/envelope biogenesis,P17443,Op90,"RpoD,LexA,MraZ,PdhR",False,False
b0091,murC,U00096.3,,100765,102240,+,UDP-N-acetylmuramate--L-alanine ligase,Cell wall/membrane/envelope biogenesis,P17952,Op91,"RpoD,LexA,MraZ,PdhR",False,False
b0092,ddlB,U00096.3,,102233,103153,+,D-alanine--D-alanine ligase B,Nucleotide transport and metabolism,P07862,Op92,"RpoD,LexA,MraZ,PdhR",False,False
b0093,ftsQ,U00096.3,,103155,103985,+,cell division protein FtsQ,"Cell cycle control, cell division, chromosome partitioning",P06136,Op93,"RpoD,RpoS,LexA,MraZ,PdhR,SdiA,Lrp,ppGpp",False,False
b0094,ftsA,U00096.3,,103982,105244,+,cell division protein FtsA,"Cell cycle control, cell division, chromosome partitioning",P0ABH0,Op94,"RpoD,RpoS,LexA,MraZ,PdhR,RcsB,SdiA,ppGpp",False,False
b0095,ftsZ,U00096.3,,105305,106456,+,cell division protein FtsZ,"Cell cycle control, cell division, chromosome partitioning",P0A9A6,Op95,"RpoD,dicF,RpoS,LexA,MraZ,PdhR,RcsB,SdiA,ArgR,ppGpp",False,False
b0096,lpxC,U00096.3,,106557,107474,+,UDP-3-O-acyl-N-acetylglucosamine deacetylase,Cell wall/membrane/envelope biogenesis,P0A725,Op96,"RpoD,LexA,MraZ,PdhR",False,False
b0097,secM,U00096.3,,107705,108217,+,SecA translation regulator,Function unknown,P62395,Op97,,False,False
b0098,secA,U00096.3,,108279,110984,+,protein translocation ATPase,"Intracellular trafficking, secretion, and vesicular transport",P10408,Op98,,False,False
b0099,mutT,U00096.3,,111044,111433,+,8-oxo-dGTP diphosphatase,"Replication, recombination and repair",P08337,Op99,,False,False
b0101,yacG,U00096.3,,111649,111846,-,DNA gyrase inhibitor YacG,Function unknown,P0A8H8,Op100,,False,False
b0102,zapD,U00096.3,,111856,112599,-,cell division factor ZapD,"Cell cycle control, cell division, chromosome partitioning",P36680,Op101,,False,False
b0103,coaE,U00096.3,,112599,113219,-,dephospho-CoA kinase,Nucleotide transport and metabolism,P0A6I9,Op102,"YqhC,YneJ",False,False
b4727,yacM,U00096.3,,113244,113288,+,protein YacM,No COG annotation,P0DPM6,Op103,,False,False
b0104,guaC,U00096.3,,113444,114487,+,GMP reductase,Nucleotide transport and metabolism,P60560,Op104,YiaU,False,False
b0106,hofC,U00096.3,,114522,115724,-,inner membrane protein HofC,"Intracellular trafficking, secretion, and vesicular transport",P36646,Op105,"RpoD,Crp,Nac",False,True
b0107,hofB,U00096.3,,115714,117099,-,T2SSE family protein,Cell motility,P36645,Op106,"RpoD,YdcN,Crp",False,True
b0108,ppdD,U00096.3,,117109,117549,-,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,Cell motility,P36647,Op107,"RpoD,Crp",False,True
b0109,nadC,U00096.3,,117752,118645,-,quinolinate phosphoribosyltransferase (decarboxylating),Nucleotide transport and metabolism,P30011,Op108,"Crp,Nac",False,False
b0110,ampD,U00096.3,,118733,119284,+,1%2C6-anhydro-N-acetylmuramoyl-L-alanine amidase,Defense mechanisms,P13016,Op109,"YfeD,Crp,ppGpp,Nac",False,False
b0111,ampE,U00096.3,,119281,120135,+,protein AmpE,Defense mechanisms,P0AE14,Op110,Crp,False,True
b0112,aroP,U00096.3,,120178,121551,-,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport",P15993,Op111,"RpoD,Cra,TyrR,ArgR,Fnr,GlaR",True,False
b0113,pdhR,U00096.3,,122092,122856,+,DNA-binding transcriptional dual regulator PdhR,Transcription,P0ACL9,Op112,"RpoD,RpoS,Fnr,Crp,Cra,PdhR,GlaR,OmpR,BtsR",True,False
b0114,aceE,U00096.3,,123017,125680,+,pyruvate dehydrogenase E1 component,Nucleotide transport and metabolism,P0AFG8,Op113,"RpoD,RpoS,Fnr,NsrR,Crp,Cra,ArcA,PdhR,BtsR",True,False
b0115,aceF,U00096.3,,125695,127587,+,pyruvate dehydrogenase%2C E2 subunit,Nucleotide transport and metabolism,P06959,Op114,"RpoD,RpoS,Fnr,NsrR,Crp,Cra,ArcA,PdhR,BtsR",True,False
b0116,lpd,U00096.3,,127912,129336,+,lipoamide dehydrogenase,Nucleotide transport and metabolism,P0A9P0,Op115,"RpoD,RpoS,Fur,Fnr,Crp,Cra,ArcA,PdhR,Fis,BtsR",True,False
b0117,yacH,U00096.3,,129407,131260,-,DUF3300 domain-containing protein YacH,Cell wall/membrane/envelope biogenesis,P36682,Op116,,False,True
b0118,acnB,U00096.3,,131615,134212,+,AcnB,Energy production and conversion,P36683,Op117,"RpoD,ryhB,Fis,Crp,Cra,ArcA,AcnB",True,False
b0119,yacL,U00096.3,,134388,134750,+,PF06062 family protein YacL,Function unknown,P0A8E5,Op118,"Lrp,cyaR",False,True
b0120,speD,U00096.3,,134788,135582,-,S-adenosylmethionine decarboxylase proenzyme,Nucleotide transport and metabolism,P0A7F6,Op119,RpoD,False,False
b0121,speE,U00096.3,,135598,136464,-,spermidine synthase,Amino acid transport and metabolism,P09158,Op120,RpoD,False,False
b0122,yacC,U00096.3,,136570,136917,-,putative lipoprotein YacC,Function unknown,P0AA95,Op121,RpoD,False,True
b0123,cueO,U00096.3,,137083,138633,+,multicopper oxidase CueO,"Secondary metabolites biosynthesis, transport, and catabolism",P36649,Op122,"ryhB,CueR",True,False
b0124,gcd,U00096.3,,138835,141225,-,quinoprotein glucose dehydrogenase,Carbohydrate transport and metabolism,P15877,Op123,"RpoD,Crp,IHF",True,False
b0125,hpt,U00096.3,,141431,141967,+,hypoxanthine phosphoribosyltransferase,Nucleotide transport and metabolism,P0A9M2,Op124,"RpoD,Crp,IHF",False,False
b0126,can,U00096.3,,142008,142670,-,carbonic anhydrase 2,Inorganic ion transport and metabolism,P61517,Op125,"RpoD,RpoH,Lrp",False,False
b0127,yadG,U00096.3,,142779,143705,+,putative ABC transporter ATP-binding protein YadG,Defense mechanisms,P36879,Op126,,False,True
b0128,yadH,U00096.3,,143702,144472,+,putative ABC transporter membrane subunit YadH,Defense mechanisms,P0AFN6,Op127,,False,True
b0129,yadI,U00096.3,,144577,145017,+,putative PTS enzyme IIA component YadI,Carbohydrate transport and metabolism,P36881,Op128,,False,True
b0130,yadE,U00096.3,,145081,146310,+,putative polysaccharide deacetylase lipoprotein YadE,Carbohydrate transport and metabolism,P31666,Op129,,False,True
b0131,panD,U00096.3,,146314,146694,-,aspartate 1-decarboxylase proenzyme,Coenzyme transport and metabolism,P0A790,Op130,"RpoD,YfeC,gcvB",False,False
b0132,rpnC,U00096.3,,146968,147870,+,recombination-promoting nuclease RpnC,"Replication, recombination and repair",P31665,Op131,,True,True
b0133,panC,U00096.3,,147944,148795,-,pantothenate synthetase,Coenzyme transport and metabolism,P31663,Op132,RpoD,False,False
b0134,panB,U00096.3,,148807,149601,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,P31057,Op133,"RpoD,YidZ",False,False
b0135,yadC,U00096.3,,149715,150953,-,fimbrial tip-adhesin YadC,Cell motility,P31058,Op134,Nac,False,False
b0136,yadK,U00096.3,,151003,151599,-,putative fimbrial protein YadK,Cell motility,P37016,Op135,ppGpp,False,False
b0137,yadL,U00096.3,,151626,152231,-,putative fimbrial protein YadL,Cell motility,P37017,Op136,YddM,False,False
b0138,yadM,U00096.3,,152243,152812,-,putative fimbrial protein YadM,Cell motility,P37018,Op137,Nac,False,False
b0139,htrE,U00096.3,,152829,155426,-,putative fimbrial usher protein HtrE,Cell wall/membrane/envelope biogenesis,P33129,Op138,"RpoD,RpoS,IHF,Lrp,Nac,GlaR",False,False
b0140,yadV,U00096.3,,155461,156201,-,putative fimbrial chaperone YadV,Cell wall/membrane/envelope biogenesis,P33128,Op139,"RpoD,RpoS,IHF,ppGpp",False,False
b0141,yadN,U00096.3,,156299,156883,-,putative fimbrial protein YadN,Cell motility,P37050,Op140,GlaR,False,False
b0142,folK,U00096.3,,157253,157732,-,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Coenzyme transport and metabolism,P26281,Op141,"RpoD,RpoS,DksA,ppGpp",False,False
b0143,pcnB,U00096.3,,157729,159126,-,poly(A) polymerase I,Nucleotide transport and metabolism,P0ABF1,Op142,"RpoD,RpoS,ppGpp,DksA",False,False
b0144,gluQ,U00096.3,,159186,160112,-,glutamyl-Q tRNA(Asp) synthetase,"Translation, ribosomal structure and biogenesis",P27305,Op143,"RpoD,ppGpp,DksA",False,False
b0145,dksA,U00096.3,,160149,160604,-,RNA polymerase-binding transcription factor DksA,Signal transduction mechanisms,P0ABS1,Op144,"RpoD,Crp,DksA,ppGpp",False,False
b0146,sfsA,U00096.3,,160782,161486,-,sugar fermentation stimulation protein A,Transcription,P0A823,Op145,"RpoD,Crp",False,True
b0147,thpR,U00096.3,,161501,162031,-,RNA 2'%2C3'-cyclic phosphodiesterase,"Translation, ribosomal structure and biogenesis",P37025,Op146,,False,False
b0148,hrpB,U00096.3,,162105,164534,+,RNA-dependent NTPase HrpB,"Replication, recombination and repair",P37024,Op147,,False,True
b0149,mrcB,U00096.3,,164730,167264,+,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,Cell wall/membrane/envelope biogenesis,P02919,Op148,,False,False
b0150,fhuA,U00096.3,,167484,169727,+,ferrichrome outer membrane transporter/phage receptor,Inorganic ion transport and metabolism,P06971,Op149,"RpoD,Fur",True,False
b0151,fhuC,U00096.3,,169778,170575,+,iron(III) hydroxamate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P07821,Op150,"RpoD,Fur",True,False
b0152,fhuD,U00096.3,,170575,171465,+,iron(III) hydroxamate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P07822,Op151,"RpoD,Fur",True,False
b0153,fhuB,U00096.3,,171462,173444,+,iron(III) hydroxamate ABC transporter membrane subunit,Inorganic ion transport and metabolism,P06972,Op152,"RpoD,Fur",True,False
b0154,hemL,U00096.3,,173602,174882,-,glutamate-1-semialdehyde 2%2C1-aminomutase,Coenzyme transport and metabolism,P23893,Op153,"PdhR,FliA,PhoP",False,False
b4765,yadX,U00096.3,,175048,175095,+,protein YadX,No COG annotation,P0DSE3,Op154,,True,False
b0155,clcA,U00096.3,,175107,176528,+,chloride:H(+) antiporter ClcA,Inorganic ion transport and metabolism,P37019,Op155,,False,False
b4728,yadW,U00096.3,,176552,176617,+,protein YadW,No COG annotation,P0DPM7,Op156,,True,False
b0156,erpA,U00096.3,,176610,176954,+,iron-sulfur cluster insertion protein ErpA,Energy production and conversion,P0ACC3,Op157,"IscR,ryhB",False,False
b0157,yadS,U00096.3,,177001,177624,-,PF03458 family protein YadS,Function unknown,P0AFP0,Op158,"RpoD,RpoS,ppGpp",False,True
b0158,btuF,U00096.3,,177662,178462,-,vitamin B12 ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P37028,Op159,"RpoD,RpoS",False,False
b0159,mtn,U00096.3,,178455,179153,-,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Nucleotide transport and metabolism,P0AF12,Op160,"RpoD,RpoS",False,False
b0160,dgt,U00096.3,,179237,180754,+,dGTP triphosphohydrolase,Nucleotide transport and metabolism,P15723,Op161,ppGpp,False,False
b0161,degP,U00096.3,,180884,182308,+,periplasmic serine endoprotease DegP,"Post-translational modification, protein turnover, and chaperones",P0C0V0,Op162,"RpoE,H-NS,CpxR",True,False
b0162,cdaR,U00096.3,,182463,183620,+,DNA-binding transcriptional activator CdaR,Transcription,P37047,Op163,"CdaR,Nac",True,False
b0163,yaeH,U00096.3,,183709,184095,-,DUF3461 domain-containing protein YaeH,Function unknown,P62768,Op164,ppGpp,False,True
b0164,yaeI,U00096.3,,184257,185069,-,phosphodiesterase YaeI,Function unknown,P37049,Op165,ppGpp,False,False
b0166,dapD,U00096.3,,185123,185947,-,tetrahydrodipicolinate succinylase,Amino acid transport and metabolism,P0A9D8,Op166,"RpoD,ArgP,MarA,Rob,SoxS",False,False
b0167,glnD,U00096.3,,185978,188650,-,protein-PII uridylyltransferase/uridylyl-removing enzyme,"Post-translational modification, protein turnover, and chaperones",P27249,Op167,"Fur,Fnr,MarA,Rob,SoxS",False,False
b0168,map,U00096.3,,188712,189506,-,methionine aminopeptidase,Amino acid transport and metabolism,P0AE18,Op168,"MarA,Nac,Rob,SoxS",False,False
b0169,rpsB,U00096.3,,189874,190599,+,30S ribosomal subunit protein S2,"Translation, ribosomal structure and biogenesis",P0A7V0,Op169,"RpoD,RpsB,ppGpp",False,False
