locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
b0053,surA,U00096.3,,53416,54702,-,chaperone SurA,"Post-translational modification, protein turnover, and chaperones",P0ABZ6,Op52
b0054,lptD,U00096.3,,54755,57109,-,lipopolysaccharide assembly protein LptD,Cell wall/membrane/envelope biogenesis,P31554,Op53
b0055,djlA,U00096.3,,57364,58179,+,co-chaperone protein DjlA,"Post-translational modification, protein turnover, and chaperones",P31680,Op54
b0056,yabP,U00096.3,,58474,59124,+,putative uncharacterized protein YabP,Function unknown,P39220,Op55
b0057,yabQ,U00096.3,,59121,59279,+,protein YabQ,No COG annotation,P39221,Op56
b0058,rluA,U00096.3,,59687,60346,-,23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase,"Translation, ribosomal structure and biogenesis",P0AA37,Op57
b0059,rapA,U00096.3,,60358,63264,-,RNA polymerase-binding ATPase and RNAP recycling factor,Transcription,P60240,Op58
b0060,polB,U00096.3,,63429,65780,-,DNA polymerase II,"Replication, recombination and repair",P21189,Op59
b0061,araD,U00096.3,,65855,66550,-,L-ribulose-5-phosphate 4-epimerase AraD,Carbohydrate transport and metabolism,P08203,Op60
b0062,araA,U00096.3,,66835,68337,-,L-arabinose isomerase,Carbohydrate transport and metabolism,P08202,Op61
b0063,araB,U00096.3,,68348,70048,-,ribulokinase,Nucleotide transport and metabolism,P08204,Op62
b0064,araC,U00096.3,,70387,71265,+,DNA-binding transcriptional dual regulator AraC,Transcription,P0A9E0,Op63
b0065,yabI,U00096.3,,71351,72115,+,DedA family protein YabI,Function unknown,P30149,Op64
b0066,thiQ,U00096.3,,72229,72927,-,thiamine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P31548,Op65
b0067,thiP,U00096.3,,72911,74521,-,thiamine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P31549,Op66
b0068,thiB,U00096.3,,74497,75480,-,thiamine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P31550,Op67
b0069,sgrR,U00096.3,,75644,77299,-,DNA-binding transcriptional dual regulator SgrR,Transcription,P33595,Op68
b4662,sgrT,U00096.3,,77388,77519,+,PtsG glucose transporter inhibitor,Energy production and conversion,C1P5Z7,Op69
b0070,setA,U00096.3,,77621,78799,+,sugar exporter SetA,Inorganic ion transport and metabolism,P31675,Op70
b0071,leuD,U00096.3,,78848,79453,-,3-isopropylmalate dehydratase subunit LeuD,Amino acid transport and metabolism,P30126,Op71
b0072,leuC,U00096.3,,79464,80864,-,3-isopropylmalate dehydratase subunit LeuC,Amino acid transport and metabolism,P0A6A6,Op72
b0073,leuB,U00096.3,,80867,81958,-,3-isopropylmalate dehydrogenase,Energy production and conversion,P30125,Op73
b0074,leuA,U00096.3,,81958,83529,-,2-isopropylmalate synthase,Amino acid transport and metabolism,P09151,Op74
b0075,leuL,U00096.3,,83622,83708,-,leu operon leader peptide,No COG annotation,P0AD79,Op75
b0076,leuO,U00096.3,,84368,85312,+,DNA-binding transcriptional dual regulator LeuO,Transcription,P10151,Op76
b4726,yabR,U00096.3,,85467,85511,-,protein YabR,No COG annotation,P0DPM5,Op77
b0077,ilvI,U00096.3,,85630,87354,+,acetolactate synthase/acetohydroxybutanoate synthase%2C catalytic subunit,Coenzyme transport and metabolism,P00893,Op78
b0078,ilvH,U00096.3,,87357,87848,+,acetolactate synthase/acetohydroxybutanoate synthase%2C regulatory subunit,Amino acid transport and metabolism,P00894,Op79
b0080,cra,U00096.3,,88028,89032,+,DNA-binding transcriptional dual regulator Cra,Transcription,P0ACP1,Op80
b0081,mraZ,U00096.3,,89634,90092,+,DNA-binding transcriptional repressor MraZ,Transcription,P22186,Op81
b0082,rsmH,U00096.3,,90094,91035,+,16S rRNA m(4)C1402 methyltransferase,"Translation, ribosomal structure and biogenesis",P60390,Op82
b0083,ftsL,U00096.3,,91032,91397,+,cell division protein FtsL,"Cell cycle control, cell division, chromosome partitioning",P0AEN4,Op83
b0084,ftsI,U00096.3,,91413,93179,+,peptidoglycan DD-transpeptidase FtsI,Cell wall/membrane/envelope biogenesis,P0AD68,Op84
b0085,murE,U00096.3,,93166,94653,+,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,Cell wall/membrane/envelope biogenesis,P22188,Op85
b0086,murF,U00096.3,,94650,96008,+,D-alanyl-D-alanine-adding enzyme,Cell wall/membrane/envelope biogenesis,P11880,Op86
b0087,mraY,U00096.3,,96002,97084,+,phospho-N-acetylmuramoyl-pentapeptide-transferase,Cell wall/membrane/envelope biogenesis,P0A6W3,Op87
b0088,murD,U00096.3,,97087,98403,+,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,Cell wall/membrane/envelope biogenesis,P14900,Op88
b0089,ftsW,U00096.3,,98403,99647,+,peptidoglycan glycosyltransferase FtsW,"Cell cycle control, cell division, chromosome partitioning",P0ABG4,Op89
b0090,murG,U00096.3,,99644,100711,+,N-acetylglucosaminyl transferase,Cell wall/membrane/envelope biogenesis,P17443,Op90
b0091,murC,U00096.3,,100765,102240,+,UDP-N-acetylmuramate--L-alanine ligase,Cell wall/membrane/envelope biogenesis,P17952,Op91
b0092,ddlB,U00096.3,,102233,103153,+,D-alanine--D-alanine ligase B,Nucleotide transport and metabolism,P07862,Op92
b0093,ftsQ,U00096.3,,103155,103985,+,cell division protein FtsQ,"Cell cycle control, cell division, chromosome partitioning",P06136,Op93
b0094,ftsA,U00096.3,,103982,105244,+,cell division protein FtsA,"Cell cycle control, cell division, chromosome partitioning",P0ABH0,Op94
b0095,ftsZ,U00096.3,,105305,106456,+,cell division protein FtsZ,"Cell cycle control, cell division, chromosome partitioning",P0A9A6,Op95
b0096,lpxC,U00096.3,,106557,107474,+,UDP-3-O-acyl-N-acetylglucosamine deacetylase,Cell wall/membrane/envelope biogenesis,P0A725,Op96
b0097,secM,U00096.3,,107705,108217,+,SecA translation regulator,Function unknown,P62395,Op97
b0098,secA,U00096.3,,108279,110984,+,protein translocation ATPase,"Intracellular trafficking, secretion, and vesicular transport",P10408,Op98
b0099,mutT,U00096.3,,111044,111433,+,8-oxo-dGTP diphosphatase,"Replication, recombination and repair",P08337,Op99
b0101,yacG,U00096.3,,111649,111846,-,DNA gyrase inhibitor YacG,Function unknown,P0A8H8,Op100
b0102,zapD,U00096.3,,111856,112599,-,cell division factor ZapD,"Cell cycle control, cell division, chromosome partitioning",P36680,Op101
b0103,coaE,U00096.3,,112599,113219,-,dephospho-CoA kinase,Nucleotide transport and metabolism,P0A6I9,Op102
b4727,yacM,U00096.3,,113244,113288,+,protein YacM,No COG annotation,P0DPM6,Op103
b0104,guaC,U00096.3,,113444,114487,+,GMP reductase,Nucleotide transport and metabolism,P60560,Op104
b0106,hofC,U00096.3,,114522,115724,-,inner membrane protein HofC,"Intracellular trafficking, secretion, and vesicular transport",P36646,Op105
b0107,hofB,U00096.3,,115714,117099,-,T2SSE family protein,Cell motility,P36645,Op106
b0108,ppdD,U00096.3,,117109,117549,-,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,Cell motility,P36647,Op107
b0109,nadC,U00096.3,,117752,118645,-,quinolinate phosphoribosyltransferase (decarboxylating),Nucleotide transport and metabolism,P30011,Op108
b0110,ampD,U00096.3,,118733,119284,+,1%2C6-anhydro-N-acetylmuramoyl-L-alanine amidase,Defense mechanisms,P13016,Op109
b0111,ampE,U00096.3,,119281,120135,+,protein AmpE,Defense mechanisms,P0AE14,Op110
b0112,aroP,U00096.3,,120178,121551,-,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport",P15993,Op111
b0113,pdhR,U00096.3,,122092,122856,+,DNA-binding transcriptional dual regulator PdhR,Transcription,P0ACL9,Op112
b0114,aceE,U00096.3,,123017,125680,+,pyruvate dehydrogenase E1 component,Nucleotide transport and metabolism,P0AFG8,Op113
b0115,aceF,U00096.3,,125695,127587,+,pyruvate dehydrogenase%2C E2 subunit,Nucleotide transport and metabolism,P06959,Op114
b0116,lpd,U00096.3,,127912,129336,+,lipoamide dehydrogenase,Nucleotide transport and metabolism,P0A9P0,Op115
b0117,yacH,U00096.3,,129407,131260,-,DUF3300 domain-containing protein YacH,Cell wall/membrane/envelope biogenesis,P36682,Op116
b0118,acnB,U00096.3,,131615,134212,+,AcnB,Energy production and conversion,P36683,Op117
b0119,yacL,U00096.3,,134388,134750,+,PF06062 family protein YacL,Function unknown,P0A8E5,Op118
b0120,speD,U00096.3,,134788,135582,-,S-adenosylmethionine decarboxylase proenzyme,Nucleotide transport and metabolism,P0A7F6,Op119
b0121,speE,U00096.3,,135598,136464,-,spermidine synthase,Amino acid transport and metabolism,P09158,Op120
b0122,yacC,U00096.3,,136570,136917,-,putative lipoprotein YacC,Function unknown,P0AA95,Op121
b0123,cueO,U00096.3,,137083,138633,+,multicopper oxidase CueO,"Secondary metabolites biosynthesis, transport, and catabolism",P36649,Op122
b0124,gcd,U00096.3,,138835,141225,-,quinoprotein glucose dehydrogenase,Carbohydrate transport and metabolism,P15877,Op123
b0125,hpt,U00096.3,,141431,141967,+,hypoxanthine phosphoribosyltransferase,Nucleotide transport and metabolism,P0A9M2,Op124
b0126,can,U00096.3,,142008,142670,-,carbonic anhydrase 2,Inorganic ion transport and metabolism,P61517,Op125
b0127,yadG,U00096.3,,142779,143705,+,putative ABC transporter ATP-binding protein YadG,Defense mechanisms,P36879,Op126
b0128,yadH,U00096.3,,143702,144472,+,putative ABC transporter membrane subunit YadH,Defense mechanisms,P0AFN6,Op127
b0129,yadI,U00096.3,,144577,145017,+,putative PTS enzyme IIA component YadI,Carbohydrate transport and metabolism,P36881,Op128
b0130,yadE,U00096.3,,145081,146310,+,putative polysaccharide deacetylase lipoprotein YadE,Carbohydrate transport and metabolism,P31666,Op129
b0131,panD,U00096.3,,146314,146694,-,aspartate 1-decarboxylase proenzyme,Coenzyme transport and metabolism,P0A790,Op130
b0132,rpnC,U00096.3,,146968,147870,+,recombination-promoting nuclease RpnC,"Replication, recombination and repair",P31665,Op131
b0133,panC,U00096.3,,147944,148795,-,pantothenate synthetase,Coenzyme transport and metabolism,P31663,Op132
b0134,panB,U00096.3,,148807,149601,-,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,P31057,Op133
b0135,yadC,U00096.3,,149715,150953,-,fimbrial tip-adhesin YadC,Cell motility,P31058,Op134
b0136,yadK,U00096.3,,151003,151599,-,putative fimbrial protein YadK,Cell motility,P37016,Op135
b0137,yadL,U00096.3,,151626,152231,-,putative fimbrial protein YadL,Cell motility,P37017,Op136
b0138,yadM,U00096.3,,152243,152812,-,putative fimbrial protein YadM,Cell motility,P37018,Op137
b0139,htrE,U00096.3,,152829,155426,-,putative fimbrial usher protein HtrE,Cell wall/membrane/envelope biogenesis,P33129,Op138
b0140,yadV,U00096.3,,155461,156201,-,putative fimbrial chaperone YadV,Cell wall/membrane/envelope biogenesis,P33128,Op139
b0141,yadN,U00096.3,,156299,156883,-,putative fimbrial protein YadN,Cell motility,P37050,Op140
b0142,folK,U00096.3,,157253,157732,-,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Coenzyme transport and metabolism,P26281,Op141
b0143,pcnB,U00096.3,,157729,159126,-,poly(A) polymerase I,Nucleotide transport and metabolism,P0ABF1,Op142
b0144,gluQ,U00096.3,,159186,160112,-,glutamyl-Q tRNA(Asp) synthetase,"Translation, ribosomal structure and biogenesis",P27305,Op143
b0145,dksA,U00096.3,,160149,160604,-,RNA polymerase-binding transcription factor DksA,Signal transduction mechanisms,P0ABS1,Op144
b0146,sfsA,U00096.3,,160782,161486,-,sugar fermentation stimulation protein A,Transcription,P0A823,Op145
b0147,thpR,U00096.3,,161501,162031,-,RNA 2'%2C3'-cyclic phosphodiesterase,"Translation, ribosomal structure and biogenesis",P37025,Op146
b0148,hrpB,U00096.3,,162105,164534,+,RNA-dependent NTPase HrpB,"Replication, recombination and repair",P37024,Op147
b0149,mrcB,U00096.3,,164730,167264,+,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,Cell wall/membrane/envelope biogenesis,P02919,Op148
b0150,fhuA,U00096.3,,167484,169727,+,ferrichrome outer membrane transporter/phage receptor,Inorganic ion transport and metabolism,P06971,Op149
b0151,fhuC,U00096.3,,169778,170575,+,iron(III) hydroxamate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P07821,Op150
b0152,fhuD,U00096.3,,170575,171465,+,iron(III) hydroxamate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P07822,Op151
b0153,fhuB,U00096.3,,171462,173444,+,iron(III) hydroxamate ABC transporter membrane subunit,Inorganic ion transport and metabolism,P06972,Op152
b0154,hemL,U00096.3,,173602,174882,-,glutamate-1-semialdehyde 2%2C1-aminomutase,Coenzyme transport and metabolism,P23893,Op153
b4765,yadX,U00096.3,,175048,175095,+,protein YadX,No COG annotation,P0DSE3,Op154
b0155,clcA,U00096.3,,175107,176528,+,chloride:H(+) antiporter ClcA,Inorganic ion transport and metabolism,P37019,Op155
b4728,yadW,U00096.3,,176552,176617,+,protein YadW,No COG annotation,P0DPM7,Op156
b0156,erpA,U00096.3,,176610,176954,+,iron-sulfur cluster insertion protein ErpA,Energy production and conversion,P0ACC3,Op157
b0157,yadS,U00096.3,,177001,177624,-,PF03458 family protein YadS,Function unknown,P0AFP0,Op158
b0158,btuF,U00096.3,,177662,178462,-,vitamin B12 ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,P37028,Op159
b0159,mtn,U00096.3,,178455,179153,-,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Nucleotide transport and metabolism,P0AF12,Op160
b0160,dgt,U00096.3,,179237,180754,+,dGTP triphosphohydrolase,Nucleotide transport and metabolism,P15723,Op161
b0161,degP,U00096.3,,180884,182308,+,periplasmic serine endoprotease DegP,"Post-translational modification, protein turnover, and chaperones",P0C0V0,Op162
b0162,cdaR,U00096.3,,182463,183620,+,DNA-binding transcriptional activator CdaR,Transcription,P37047,Op163
b0163,yaeH,U00096.3,,183709,184095,-,DUF3461 domain-containing protein YaeH,Function unknown,P62768,Op164
b0164,yaeI,U00096.3,,184257,185069,-,phosphodiesterase YaeI,Function unknown,P37049,Op165
b0166,dapD,U00096.3,,185123,185947,-,tetrahydrodipicolinate succinylase,Amino acid transport and metabolism,P0A9D8,Op166
b0167,glnD,U00096.3,,185978,188650,-,protein-PII uridylyltransferase/uridylyl-removing enzyme,"Post-translational modification, protein turnover, and chaperones",P27249,Op167
b0168,map,U00096.3,,188712,189506,-,methionine aminopeptidase,Amino acid transport and metabolism,P0AE18,Op168
b0169,rpsB,U00096.3,,189874,190599,+,30S ribosomal subunit protein S2,"Translation, ribosomal structure and biogenesis",P0A7V0,Op169
b0170,tsf,U00096.3,,190857,191708,+,protein chain elongation factor EF-Ts,"Translation, ribosomal structure and biogenesis",P0A6P1,Op170
b0171,pyrH,U00096.3,,191855,192580,+,UMP kinase,Nucleotide transport and metabolism,P0A7E9,Op171
b0172,frr,U00096.3,,192872,193429,+,ribosome-recycling factor,"Translation, ribosomal structure and biogenesis",P0A805,Op172
b0173,dxr,U00096.3,,193521,194717,+,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Lipid transport and metabolism,P45568,Op173
b0174,ispU,U00096.3,,194903,195664,+,ditrans%2Cpolycis-undecaprenyl-diphosphate synthase [(2E%2C6E)-farnesyl-diphosphate specific],Lipid transport and metabolism,P60472,Op174
b0175,cdsA,U00096.3,,195677,196534,+,CDP-diglyceride synthetase,Lipid transport and metabolism,P0ABG1,Op175
b0176,rseP,U00096.3,,196546,197898,+,intramembrane zinc metalloprotease RseP,Cell wall/membrane/envelope biogenesis,P0AEH1,Op176
b0177,bamA,U00096.3,,197928,200360,+,outer membrane protein assembly factor BamA,Cell wall/membrane/envelope biogenesis,P0A940,Op177
b0178,skp,U00096.3,,200482,200967,+,periplasmic chaperone Skp,Cell wall/membrane/envelope biogenesis,P0AEU7,Op178
b0179,lpxD,U00096.3,,200971,201996,+,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,Cell wall/membrane/envelope biogenesis,P21645,Op179
b0180,fabZ,U00096.3,,202101,202556,+,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,Lipid transport and metabolism,P0A6Q6,Op180
b0181,lpxA,U00096.3,,202560,203348,+,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,Cell wall/membrane/envelope biogenesis,P0A722,Op181
b0182,lpxB,U00096.3,,203348,204496,+,lipid A disaccharide synthase,Cell wall/membrane/envelope biogenesis,P10441,Op182
b0183,rnhB,U00096.3,,204493,205089,+,RNase HII,"Replication, recombination and repair",P10442,Op183
b0184,dnaE,U00096.3,,205126,208608,+,DNA polymerase III subunit alpha,"Replication, recombination and repair",P10443,Op184
b0185,accA,U00096.3,,208621,209580,+,acetyl-CoA carboxyltransferase subunit alpha,Lipid transport and metabolism,P0ABD5,Op185
b0186,ldcC,U00096.3,,209679,211820,+,lysine decarboxylase 2,Amino acid transport and metabolism,P52095,Op186
b0187,yaeR,U00096.3,,211877,212266,+,VOC domain-containing protein YaeR,Amino acid transport and metabolism,P52096,Op187
b0188,tilS,U00096.3,,212331,213629,+,tRNA(Ile)-lysidine synthetase,"Translation, ribosomal structure and biogenesis",P52097,Op188
b0189,rof,U00096.3,,213678,213932,-,modulator of Rho-dependent transcription termination,Transcription,P0AFW8,Op189
b4406,yaeP,U00096.3,,213925,214125,-,PF06786 family protein YaeP,Function unknown,P0A8K5,Op190
b0190,yaeQ,U00096.3,,214291,214836,+,uncharacterized protein YaeQ,Function unknown,P0AA97,Op191
b0191,arfB,U00096.3,,214833,215255,+,peptidyl-tRNA hydrolase%2C ribosome rescue factor,"Translation, ribosomal structure and biogenesis",P40711,Op192
b0192,nlpE,U00096.3,,215269,215979,+,sensor lipoprotein NlpE,Cell wall/membrane/envelope biogenesis,P40710,Op193
b0193,yaeF,U00096.3,,216179,217003,-,peptidase C92 family protein YaeF,Cell wall/membrane/envelope biogenesis,P37056,Op194
b0194,proS,U00096.3,,217057,218775,-,proline--tRNA ligase,"Translation, ribosomal structure and biogenesis",P16659,Op195
b0195,trmO,U00096.3,,218887,219594,-,tRNA m(6)t(6)A37 methyltransferase,Function unknown,P28634,Op196
b0196,rcsF,U00096.3,,219591,219995,-,sensor lipoprotein RcsF,Cell wall/membrane/envelope biogenesis,P69411,Op197
b0197,metQ,U00096.3,,220113,220928,-,L-methionine/D-methionine ABC transporter membrane anchored binding protein,Inorganic ion transport and metabolism,P28635,Op198
b0198,metI,U00096.3,,220968,221621,-,L-methionine/D-methionine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P31547,Op199
b0199,metN,U00096.3,,221614,222645,-,L-methionine/D-methionine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P30750,Op200
b0200,gmhB,U00096.3,,222833,223408,+,D-glycero-beta-D-manno-heptose-1%2C7-bisphosphate 7-phosphatase,Nucleotide transport and metabolism,P63228,Op201
b0207,dkgB,U00096.3,,229167,229970,+,methylglyoxal reductase DkgB,Function unknown,P30863,Op202
b0208,yafC,U00096.3,,229967,230881,-,DNA-binding transcriptional regulator YafC,Transcription,P30864,Op203
b0209,yafD,U00096.3,,231122,231922,+,endonuclease/exonuclease/phosphatase domain-containing protein YafD,Function unknown,P0A8U2,Op204
b0210,yafE,U00096.3,,231926,232549,+,putative S-adenosylmethionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P30866,Op205
b0211,mltD,U00096.3,,232597,233955,-,membrane-bound lytic murein transglycosylase D,Cell wall/membrane/envelope biogenesis,P0AEZ7,Op206
b0212,gloB,U00096.3,,234027,234782,-,hydroxyacylglutathione hydrolase GloB,Function unknown,P0AC84,Op207
b4815,ykfO,U00096.3,,234288,234320,+,protein YkfO,No COG annotation,P0DUW0,Op208
b0213,yafS,U00096.3,,234816,235538,+,putative S-adenosyl-L-methionine-dependent methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P75672,Op209
b0214,rnhA,U00096.3,,235535,236002,-,ribonuclease HI,"Replication, recombination and repair",P0A7Y4,Op210
b0215,dnaQ,U00096.3,,236067,236798,+,DNA polymerase III subunit epsilon,"Replication, recombination and repair",P03007,Op211
b0217,yafT,U00096.3,,237335,238120,+,lipoprotein YafT,No COG annotation,P77339,Op212
b4586,ykfM,U00096.3,,238257,238736,-,uncharacterized protein YkfM,No COG annotation,A5A605,Op213
b0219,yafV,U00096.3,,239419,240189,-,2-oxoglutaramate amidase,Function unknown,Q47679,Op214
b0220,ivy,U00096.3,,240343,240816,+,periplasmic chaperone%2C inhibitor of vertebrate C-type lysozyme,"Post-translational modification, protein turnover, and chaperones",P0AD59,Op215
b0221,fadE,U00096.3,,240859,243303,-,acyl-CoA dehydrogenase,Lipid transport and metabolism,Q47146,Op216
b0222,gmhA,U00096.3,,243543,244121,+,D-sedoheptulose 7-phosphate isomerase,Carbohydrate transport and metabolism,P63224,Op217
b0223,yafJ,U00096.3,,244327,245094,+,putative glutamine amidotransferase YafJ,Function unknown,Q47147,Op218
b0224,dpaA,U00096.3,,245065,245805,-,peptidoglycan meso-diaminopimelic acid protein amidase A,Cell wall/membrane/envelope biogenesis,P0AA99,Op219
