Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization	Genes in same transcription unit	Accession-1
livH	b3457	3595477	3596403	branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH	WELL-CHARACTERIZED	livF // livG // livM // livH // livK	b3457
pgpB	b1278	1339330	1340094	phosphatidylglycerophosphatase B	WELL-CHARACTERIZED	pgpB	b1278
rfaH	b3842	4024333	4024821	transcription antiterminator RfaH	WELL-CHARACTERIZED	rfaH	b3842
eutJ	b2454	2569501	2570337	putative ethanolamine utilization chaperonin EutJ	PARTIAL	eutN // eutE // eutJ // eutG	b2454
dnaE	b0184	205126	208608	DNA polymerase III subunit &alpha;	WELL-CHARACTERIZED	dnaE // rnhB // lpxB // bamA // lpxA // fabZ // lpxD // skp	b0184
galM	b0756	787797	788837	galactose-1-epimerase	WELL-CHARACTERIZED	galM // galK // galT // galE	b0756
adiC	b4115	4335694	4337031	arginine:agmatine antiporter	WELL-CHARACTERIZED	adiC	b4115
yhcC	b3211	3353121	3354050	radical SAM family oxidoreductase YhcC	PARTIAL	yhcC	b3211
bioA	b0774	807968	809257	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	WELL-CHARACTERIZED	bioA	b0774
ypaA	b4543	2357816	2358001	protein YpaA		ypaA // rpnE	b4543
yqgD	b2941	3086399	3086650	DUF2684 domain-containing protein YqgD	UNCHARACTERIZED	yqgD	b2941
ygiC	b3038	3180421	3181581	peptide&mdash;spermidine ligase YgiC	PARTIAL	ygiC // ygiB // tolC	b3038
argC	b3958	4155001	4156005	N-acetylglutamylphosphate reductase	WELL-CHARACTERIZED	argC // argB // argH	b3958
ccmH	b2194	2291358	2292410	holocytochrome <I>c</I> synthase CcmH component	WELL-CHARACTERIZED	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2194
flxA	b1566	1646405	1646737	Qin prophage; PF14282 family protein FlxA	UNCHARACTERIZED	flxA	b1566
yfaX	b2248	2361429	2362211	putative DNA-binding transcriptional regulator YfaX	PARTIAL	yfaX // rhmD // yfaV // yfaU	b2248
yfbK	b2270	2383995	2385722	IPR002035/DUF3520 domain-containing protein YfbK	UNCHARACTERIZED	yfbK	b2270
yhdJ	b3262	3411653	3412537	DNA adenine methyltransferase	PARTIAL	yhdJ	b3262
manY	b1818	1903082	1903882	mannose-specific PTS enzyme IIC component	WELL-CHARACTERIZED	manX // manY // manZ // yobD	b1818
insZ	b4573	1294426	1295322	putative transposase InsZ		insZ	b4573
speE	b0121	135598	136464	spermidine synthase	WELL-CHARACTERIZED	yacC // speD // speE	b0121
lpp	b1677	1757421	1757657	murein lipoprotein	PARTIAL	lpp	b1677
dedD	b2314	2431022	2431684	cell division protein DedD	WELL-CHARACTERIZED	folC // dedD	b2314
basR	b4113	4333282	4333950	DNA-binding transcriptional dual regulator BasR-phosphorylated // DNA-binding transcriptional dual regulator BasR	WELL-CHARACTERIZED	basS // basR	b4113
ydiB	b1692	1773789	1774655	quinate/shikimate dehydrogenase	PARTIAL	ydiB // ydiN // aroD	b1692
infB	b3168	3313342	3316014	translation initiation factor IF-2&beta;' // translation initiation factor IF-2&beta; // translation initiation factor IF-2	WELL-CHARACTERIZED	pnp // rpsO // truB // rbfA // nusA // rimP // metY // infB	b3168
gdx	b4148	4376875	4377192	guanidinium exporter	WELL-CHARACTERIZED	gdx	b4148
ampG	b0433	452070	453545	muropeptide:H<sup>+</sup> symporter	WELL-CHARACTERIZED	yajG // ampG	b0433
yaaJ	b0007	6529	7959	putative transporter YaaJ	PARTIAL	yaaJ	b0007
metR	b3828	4011863	4012816	DNA-binding transcriptional dual regulator MetR	WELL-CHARACTERIZED	metR	b3828
ddpD	b1484	1558031	1559017	putative D,D-dipeptide ABC transporter ATP-binding subunit DdpD	PARTIAL	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	b1484
acrZ	b0762	794773	794922	multidrug efflux pump accessory protein AcrZ	WELL-CHARACTERIZED	acrZ	b0762
yadS	b0157	177001	177624	PF03458 family protein YadS	UNCHARACTERIZED	mtn // btuF // yadS	b0157
ybjO	b0858	897989	898477	putative inner membrane protein	UNCHARACTERIZED	rlmC // ybjO	b0858
zbiJ	b4814	837435	837531	small regulatory RNA ZbiJ	PARTIAL		b4814
pdeN	b2176	2270726	2272282	putative c-di-GMP phosphodiesterase PdeN	PARTIAL	pdeN	b2176
fimR2	b4838	4543674	4543708	small regulatory RNA FimR2	PARTIAL	fimR2 // fimD // fimH // fimG // fimF // fimC // fimI // fimA	b4838
rrlC	b3758	3943704	3946607	23S ribosomal RNA	WELL-CHARACTERIZED	rrfC // rrlC // gltU // rrsC	b3758
mcaS	b4426	1405658	1405751	small regulatory RNA McaS	WELL-CHARACTERIZED	mcaS	b4426
codA	b0337	356171	357454	cytosine/isoguanine deaminase	WELL-CHARACTERIZED	codB // codA	b0337
yedL	b1932	2010600	2011079	putative acetyltransferase YedL	PARTIAL	yedL	b1932
waaS	b3629	3804181	3805116	lipopolysaccharide core biosynthesis protein WaaS	PARTIAL	rirA // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ // waaU // waaZ	b3629
mltA	b2813	2946081	2947178	membrane-bound lytic murein transglycosylase A	WELL-CHARACTERIZED	mltA	b2813
ppa	b4226	4449122	4449652	inorganic pyrophosphatase	WELL-CHARACTERIZED	ppa	b4226
hsrA	b3754	3939185	3940612	putative transporter HsrA	PARTIAL	yieP // hsrA	b3754
yghD	b2968	3110590	3111126	putative type II secretion system M-type protein YghD	PARTIAL	yghE // yghD	b2968
csdA	b2810	2943337	2944542	cysteine sulfinate desulfinase	WELL-CHARACTERIZED	csdE // csdA	b2810
symE	b4347	4579499	4579840	nucleoid-associated protein SymE	WELL-CHARACTERIZED	symE	b4347
cnu	b1625	1704949	1705164	H-NS- and StpA-binding protein	PARTIAL	cnu	b1625
yqiK	b3051	3192864	3194525	flotillin family inner membrane protein YqiK	PARTIAL	yqiK // yqiJ	b3051
eptB	b3546	3708784	3710475	phosphoethanolamine transferase EptB	WELL-CHARACTERIZED	eptB	b3546
intZ	b2442	2558858	2560066	CPZ-55 prophage; putative phage integrase IntZ	PARTIAL	intZ	b2442
kduI	b2843	2983288	2984124	5-dehydro-4-deoxy-D-glucuronate isomerase	WELL-CHARACTERIZED	kduI	b2843
yncJ	b1436	1508834	1509064	DUF2554 domain-containing protein YncJ	UNCHARACTERIZED	yncJ	b1436
ssuC	b0934	994041	994832	aliphatic sulfonate ABC transporter membrane subunit	WELL-CHARACTERIZED	ssuB // ssuC // ssuD // ssuA // ssuE	b0934
yegP	b2080	2165189	2165521	DUF1508 domain-containing protein YegP	UNCHARACTERIZED	yegP	b2080
nrdI	b2674	2800965	2801375	dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI	PARTIAL	nrdH // nrdI // nrdF // nrdE	b2674
tapT	b2583	2719223	2719921	tRNA 3-amino-3-carboxypropyltransferase	WELL-CHARACTERIZED	tapT // patZ	b2583
glgS	b3049	3191739	3191939	surface composition regulator	PARTIAL	glgS	b3049
ompF	b0929	985894	986982	outer membrane porin F	WELL-CHARACTERIZED	ompF	b0929
aceK-int	b4830	4218879	4218963	small RNA AceK-int	PARTIAL		b4830
intE	b1140	1199679	1200806	e14 prophage; putative integrase	PARTIAL	ymfH // xisE // intE	b1140
nuoA	b2288	2404629	2405072	NADH:quinone oxidoreductase subunit A	WELL-CHARACTERIZED	nuoL // nuoK // nuoJ // nuoI // nuoH // nuoG // nuoF // nuoE // nuoC // nuoB // nuoA // nuoN // nuoM	b2288
ompT	b0565	584680	585633	DLP12 prophage; omptin family outer membrane protease OmpT	WELL-CHARACTERIZED	ompT // envY	b0565
yijF	b3944	4137040	4137657	DUF1287 domain-containing protein YijF	UNCHARACTERIZED	yijF	b3944
yecA	b1908	1990954	1991619	uncharacterized Fe-binding protein YecA	UNCHARACTERIZED	yecA	b1908
yjiA	b4352	4587909	4588865	P-loop guanosine triphosphatase YjiA	WELL-CHARACTERIZED	yjiX // yjiA	b4352
hyuA	b2873	3010028	3011413	phenylhydantoinase	PARTIAL	hyuA	b2873
araJ	b0396	411297	412481	putative transport protein AraJ	PARTIAL	araJ	b0396
araH	b4460	1982554	1983540	arabinose ABC transporter membrane subunit	WELL-CHARACTERIZED	araH // araG // araF	b4460
yfcA	b2327	2444751	2445560	putative transporter YfcA	PARTIAL	prmB // aroC // mepA // yfcA // epmC // yfcL	b2327
yoaB	b1809	1893367	1893711	RutC family protein YoaB	PARTIAL	yoaB	b1809
ghxQ	b4464	3027121	3028488	guanine/hypoxanthine transporter GhxQ	WELL-CHARACTERIZED	ghxQ // guaD // xanQ	b4464
insF4	b1026	1094275	1095141	IS3 element protein InsF	UNCHARACTERIZED	insE4 // insF4 // insEF4	b1026
argB	b3959	4156013	4156789	acetylglutamate kinase	WELL-CHARACTERIZED	argC // argB // argH	b3959
pxpA	b0713	745165	745899	5-oxoprolinase component A	PARTIAL	nei // pxpA // pxpC // pxpB // ybgI	b0713
yajR	b0427	445302	446666	putative transport protein YajR	PARTIAL	yajR	b0427
ybhU	b4591	813114	813251				b4591
purK	b0522	551527	552594	5-(carboxyamino)imidazole ribonucleotide synthase	WELL-CHARACTERIZED	purK // purE	b0522
ybbD	b0501	528640	529130	putative uncharacterized protein YbbD		ybbD // ylbH // ybbC // rhsD	b0501
upp	b2498	2620246	2620872	uracil phosphoribosyltransferase	WELL-CHARACTERIZED	uraA // upp	b2498
sapB	b1293	1354505	1355470	putrescine ABC exporter membrane subunit SapB	WELL-CHARACTERIZED	sapA // sapB // sapC // sapD // sapF	b1293
b4700	b4700	607734	607792				b4700
holE	b1842	1925108	1925338	DNA polymerase III subunit &theta;	WELL-CHARACTERIZED	holE	b1842
lexA	b4043	4257115	4257723	DNA-binding transcriptional repressor LexA	WELL-CHARACTERIZED	lexA // dinF	b4043
ybhF	b0794	827245	828981	ABC exporter ATP binding subunit YbhF	WELL-CHARACTERIZED	cecR // ybhG // ybhF // ybhS // ybhR	b0794
yciQ	b1268	1324746	1326641	DUF2207 domain-containing protein YciQ	UNCHARACTERIZED	yciQ // yciO // rnm	b1268
pspE	b1308	1369689	1370003	thiosulfate sulfurtransferase PspE	WELL-CHARACTERIZED	pspA // pspB // pspC // pspD // pspE	b1308
epmA	b4155	4382643	4383620	EF-P-lysine lysyltransferase	WELL-CHARACTERIZED	epmA	b4155
bolA	b0435	454472	454789	DNA binding transcriptional dual regulator BolA-phosphorylated // DNA-binding transcriptional dual regulator BolA	PARTIAL	bolA	b0435
rsmJ	b3497	3642380	3643132	16S rRNA m<sup>2</sup>G1516 methyltransferase	WELL-CHARACTERIZED	prlC // rsmJ	b3497
frwC	b3949	4142530	4143609	putative PTS enzyme IIC component FrwC	PARTIAL	frwB // frwC	b3949
ycaK	b0901	949668	950258	putative oxidoreductase YcaK	PARTIAL	ycaK	b0901
amtB	b0451	472966	474252	ammonium transporter	WELL-CHARACTERIZED	amtB // glnK	b0451
ycgR	b1194	1243793	1244527	flagellar brake protein YcgR	WELL-CHARACTERIZED	ycgR	b1194
ccmF	b2196	2292961	2294904	holocytochrome <I>c</I> synthase CcmF component	WELL-CHARACTERIZED	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	b2196
gyrA	b2231	2336793	2339420	DNA gyrase subunit A	WELL-CHARACTERIZED	gyrA	b2231
yeaK	b1787	1873574	1874077	mischarged aminoacyl-tRNA deacylase	WELL-CHARACTERIZED	yeaK	b1787
mntH	b2392	2511468	2512706	Mn(2+):H(+) symporter	WELL-CHARACTERIZED	mntH	b2392
ykiB	b0370	389897	390115				b0370
agaC	b3139	3284685	3285488	cryptic galactosamine-specific PTS enzyme IIC component	WELL-CHARACTERIZED	agaI // agaD // agaC // agaB // kbaY // agaS	b3139
ycgZ	b1164	1215789	1216025	putative two-component system connector protein YcgZ	PARTIAL	ymgC // ariR // ymgA // ycgZ	b1164
yfcD	b2299	2418634	2419176	putative Nudix hydrolase YfcD	PARTIAL	yfcD	b2299
flk	b2321	2437950	2438945	putative flagella assembly protein	PARTIAL	flk	b2321
yhbS	b3156	3300255	3300758	putative <i>N</i>-acetyltransferase YhbS	PARTIAL	ubiT // yhbS	b3156
wcaI	b2050	2124523	2125746	colanic acid biosynthesis fucosyltransferase WcaI	WELL-CHARACTERIZED	wcaC // wcaD // wcaE // wcaF // gmd // fcl // gmm // wcaI // cpsB // cpsG // wcaJ // wzxC	b2050
blc	b4149	4377189	4377722	outer membrane lipocalin protein	PARTIAL	blc	b4149
recF	b3700	3880148	3881221	recombination mediator protein RecF	PARTIAL	dnaA // recF // dnaN	b3700
insH3	b0656	687997	688977	IS<i>5</i> transposase and trans-activator	PARTIAL	insH3	b0656
ybhB	b0773	807433	807909	putative kinase inhibitor	PARTIAL	ybhB	b0773
nth	b1633	1711523	1712158	endonuclease III	WELL-CHARACTERIZED	nth // rsxE // rsxG // rsxD // rsxC // rsxB // rsxA // ydgK	b1633
rpsT	b0023	20815	21078	30S ribosomal subunit protein S20	WELL-CHARACTERIZED	rpsT	b0023
yjhQ	b4307	4533239	4533784	KpLE2 phage-like element; putative acetyltransferase TopAI antitoxin YjhQ	PARTIAL	topAI // yjhQ	b4307
ypjF	b2646	2777453	2777782	CP4-57 prophage; toxin of the YpjF-YfjZ toxin-antitoxin system	UNCHARACTERIZED	ypjF // yfjZ // ypjJ // lfgB // lfgA	b2646
pbpC	b2519	2645013	2647325	peptidoglycan glycosyltransferase PbpC	WELL-CHARACTERIZED	yfhM // pbpC	b2519
yibV	b4615	3769345	3769680	PF15596 family protein YibV	UNCHARACTERIZED		b4615
yfeC	b2398	2518467	2518811	DNA-binding transcriptional dual regulator YfeC	PARTIAL	yfeD // yfeC	b2398
rcsA	b1951	2023968	2024591	DNA-binding transcriptional activator RcsA	PARTIAL	rcsA	b1951
mokB	b1420	1491962	1492129	putative regulatory protein MokB	PARTIAL	mokB	b1420
yejL	b2187	2284129	2284356	DUF1414 domain-containing protein YejL	UNCHARACTERIZED	lapC // yejL	b2187
micF	b4439	2313084	2313176	small regulatory RNA MicF	WELL-CHARACTERIZED	micF	b4439
nfeF	b3070	3215727	3216491	NADPH-dependent Fe(3+)-chelate reductase	WELL-CHARACTERIZED	nfeF	b3070
rsmG	b3740	3923057	3923680	16S rRNA m<sup>7</sup>G527 methyltransferase	WELL-CHARACTERIZED	rsmG // mnmG // mioC // asnC	b3740
panD	b0131	146314	146694	PanD &beta; cleavage product // PanD &alpha; cleavage product // aspartate 1-decarboxylase proenzyme	WELL-CHARACTERIZED	panD	b0131
hemL	b0154	173602	174882	glutamate-1-semialdehyde 2,1-aminomutase	WELL-CHARACTERIZED	hemL	b0154
puuR	b1299	1361911	1362468	DNA-binding transcriptional repressor PuuR	WELL-CHARACTERIZED	puuR // puuD // puuE // puuB // puuC	b1299
yoeA	b4582			CP4-44 prophage; TonB-dependent receptor plug domain-containing protein YoeA		yoeA	b4582
b1437	b1437	1509250	1509447				b1437
yeaD	b1780	1863850	1864734	putative aldose 1-epimerase YeaD	PARTIAL	gapA // yeaD	b1780
b3254	b3254	3404516	3404617				b3254
yiaA	b3562	3726924	3727361	PF05360 family inner membrane protein YiaA	PARTIAL	yiaA	b3562
yebO	b1825	1908261	1908548	uncharacterized protein YebO	UNCHARACTERIZED	yebO	b1825
cysB	b1275	1333855	1334829	DNA-binding transcriptional dual regulator CysB	WELL-CHARACTERIZED	cysB	b1275
yfcL	b2325	2443891	2444169	PF08891 family protein YfcL	UNCHARACTERIZED	prmB // aroC // mepA // yfcA // epmC // yfcL	b2325
pdeB	b0457	477067	478617	cyclic di-GMP phosphodiesterase PdeB	PARTIAL	pdeB	b0457
bglH	b3720	3900604	3902220	cryptic carbohydrate-specific outer membrane porin	WELL-CHARACTERIZED	bglH // yieL // yieK	b3720
yeeA	b2008	2079533	2080591	putative transporter YeeA	PARTIAL	yeeA	b2008
bipA	b3871	4058407	4060230	50S ribosomal subunit assembly factor BipA	WELL-CHARACTERIZED	bipA	b3871
narU	b1469	1542672	1544060	nitrate/nitrite transporter NarU	WELL-CHARACTERIZED	narU // narY // narZ // narV // narW	b1469
sohB	b1272	1329332	1330381	S49 peptidase family protein	PARTIAL	sohB	b1272
hisM	b2307	2424517	2425233	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM	WELL-CHARACTERIZED	hisP // hisM // hisQ // hisJ // argT	b2307
ymgK	b4738	1212260	1212304	protein YmgK	UNCHARACTERIZED		b4738
casA	b2760	2882630	2884138	type I-E CRISPR system Cascade subunit CasA	WELL-CHARACTERIZED	casA // casB // casC // cas2 // cas1 // casE // casD	b2760
potD	b1123	1181783	1182829	spermidine preferential ABC transporter periplasmic binding protein	WELL-CHARACTERIZED	potD // potC // potB // potA	b1123
yagG	b0270	285395	286777	CP4-6 prophage; putative D-xylonate transporter YagG	PARTIAL	yagH // yagG	b0270
ydhW	b1672	1751077	1751724	uncharacterized protein YdhW	UNCHARACTERIZED	ydhY // ydhV // ydhW // ydhX // ydhU // ydhT	b1672
ybcJ	b0528	556661	556873	putative RNA-binding protein YbcJ	PARTIAL	folD // ybcJ	b0528
feaR	b1384	1446378	1447283	DNA-binding transcriptional activator FeaR	WELL-CHARACTERIZED	feaR	b1384
nac	b1988	2061016	2061933	DNA-binding transcriptional dual regulator Nac	WELL-CHARACTERIZED	nac	b1988
alaW	b2397	2518156	2518231	tRNA-Ala(GGC)	WELL-CHARACTERIZED	alaX // alaW	b2397
ves	b1742	1824362	1824937	HutD family protein Ves	PARTIAL	ves	b1742
ypjI	b4644	2775545	2775816	putative UPF0401 protein YpjI			b4644
yigE	b4482	4000292	4001056	DUF2233 domain-containing protein YigE	UNCHARACTERIZED	yigE	b4482
ynfS	b4750	1642122	1642211	Qin prophage; protein YnfS	UNCHARACTERIZED		b4750
purT	b1849	1930881	1932059	phosphoribosylglycinamide formyltransferase 2	WELL-CHARACTERIZED	purT	b1849
fliS	b1925	2005303	2005713	flagellar biosynthesis protein FliS	PARTIAL	fliD // fliS // fliT	b1925
ynfO	b4533	1636756	1636989	Qin prophage; DUF3950 domain-containing protein YnfO	UNCHARACTERIZED	ydfO // ynfO	b4533
fruL	b0079	87860	87946				b0079
ymfH	b1142	1201069	1201380	e14 prophage; putative protein YmfH	UNCHARACTERIZED	ymfH // xisE // intE	b1142
xanP	b3654	3828945	3830336	xanthine:H+ symporter XanP	WELL-CHARACTERIZED	xanP	b3654
fimG	b4319	4548285	4548788	type 1 fimbriae minor subunit FimG	PARTIAL	fimR2 // fimD // fimH // fimG // fimF // fimC // fimI // fimA	b4319
hupA	b4000	4200281	4200553	DNA-binding protein HU-&alpha;	WELL-CHARACTERIZED	hupA	b4000
yicC	b3644	3816676	3817539	putative RNase adaptor protein YicC	WELL-CHARACTERIZED	yicC	b3644
topAI	b4566	4533796	4534053	KpLE2 phage-like element; toxin of the TopAI-YjhQ toxin-antitoxin system, TopA inhibitor	PARTIAL	topAI // yjhQ	b4566
glyX	b4164	4392472	4392547	tRNA-Gly(GCC)	WELL-CHARACTERIZED	glyV // glyX // glyY	b4164
fhuA	b0150	167484	169727	ferrichrome outer membrane transporter/phage receptor	WELL-CHARACTERIZED	fhuA // fhuC // fhuD // fhuB	b0150
rhaS	b3905	4097736	4098572	DNA-binding transcriptional activator RhaS	WELL-CHARACTERIZED	rhaS // rhaR	b3905
yraN	b3148	3295394	3295789	PF02021 family protein YraN	UNCHARACTERIZED	yraN	b3148
icdC	b4519	1211413	1211577	protein IcdC		icdC	b4519
ygeQ	b2863	2998034	2998828	putative lipoprotein YgeQ	UNCHARACTERIZED	ygeQ	b2863
creA	b4397	4635521	4635994	PF05981 family protein CreA	UNCHARACTERIZED	creA // creB // creC // creD	b4397
yrhB	b3446	3584759	3585043	putative heat shock chaperone	PARTIAL	yrhB	b3446
rtcA	b4475	3555833	3556849	RNA 3'-terminal phosphate cyclase	PARTIAL	rtcA // rtcB	b4475
nudI	b2251	2364554	2364979	pyrimidine deoxynucleotide diphosphatase NudI	WELL-CHARACTERIZED	nudI	b2251
pheS	b1714	1797959	1798942	phenylalanine&mdash;tRNA ligase	WELL-CHARACTERIZED	thrS // rpmI // infC // rplT // ihfA // pheM // pheT // pheS	b1714
yoaC	b1810	1894133	1894432	DUF1889 domain-containing protein YoaC	UNCHARACTERIZED	yoaC	b1810
mmuP	b0260	275325	276728	CP4-6 prophage; <i>S</i>-methyl-L-methionine transporter	WELL-CHARACTERIZED	mmuM // mmuP	b0260
bamE	b2617	2753605	2753946	outer membrane protein assembly factor BamE	WELL-CHARACTERIZED	bamE	b2617
araF	b1901	1985139	1986128	arabinose ABC transporter periplasmic binding protein	WELL-CHARACTERIZED	araH // araG // araF	b1901
bglX	b2132	2219692	2221989	putative periplasmic glycoside hydrolase	WELL-CHARACTERIZED	bglX	b2132
rpsI	b3230	3377815	3378207	30S ribosomal subunit protein S9	WELL-CHARACTERIZED	rpsI // rplM	b3230
cecR	b0796	829972	830643	DNA-binding transcriptional dual regulator CecR	PARTIAL	cecR // ybhG // ybhF // ybhS // ybhR	b0796
galU	b1236	1291457	1292365	UTP&mdash;glucose-1-phosphate uridylyltransferase	WELL-CHARACTERIZED	galU	b1236
elfG	b0941	1001807	1002877	putative fimbrial-like adhesin protein	PARTIAL	ycbF // ycbV // ycbU // elfG // elfC // elfD	b0941
yghU	b2989	3138727	3139593	disulfide reductase / organic hydroperoxide reductase	PARTIAL	yghU	b2989
ybjC	b0850	890913	891200	DUF1418 domain-containing protein YbjC	UNCHARACTERIZED	nfsA // ybjC // rimK // ybjN	b0850
sdsN	b4719	1996921	1997057	small regulatory RNA SdsN	WELL-CHARACTERIZED	sdsN	b4719
insA5	b1894	1978940	1979215	IS1 protein InsA	UNCHARACTERIZED	insA5 // insB5 // insAB5	b1894
rraB	b4255	4478473	4478889	ribonuclease E inhibitor protein B	WELL-CHARACTERIZED	rraB	b4255
ygcE	b2776	2901896	2903374	putative sugar kinase YgcE	PARTIAL	ygcE // yqcE	b2776
ylaC	b0458	478781	479251	putative inner membrane protein	UNCHARACTERIZED	ylaC	b0458
nikE	b3480	3617776	3618582	Ni(2+) ABC transporter ATP binding subunit NikE	WELL-CHARACTERIZED	nikE // nikR // nikD // nikC // nikB // nikA	b3480
yegL	b2073	2152469	2153128	IPR002035 domain-containing protein YegL	UNCHARACTERIZED	yegL // pphC	b2073
sbmC	b2009	2080789	2081262	DNA gyrase inhibitor	WELL-CHARACTERIZED	sbmC	b2009
ribB	b3041	3183813	3184466	3,4-dihydroxy-2-butanone-4-phosphate synthase	WELL-CHARACTERIZED	sroG // ribB	b3041
gstA	b1635	1714377	1714982	glutathione <i>S</i>-transferase GstA	WELL-CHARACTERIZED	gstA	b1635
pgsA	b1912	1992269	1992817	CDP-diacylglycerol&mdash;glycerol-3-phosphate 3-phosphatidyltransferase	WELL-CHARACTERIZED	pgsA	b1912
cysC	b2750	2873387	2873992	adenylyl-sulfate kinase	WELL-CHARACTERIZED	cysC // cysN // cysD	b2750
cysN	b2751	2873992	2875419	sulfate adenylyltransferase subunit 1	WELL-CHARACTERIZED	cysC // cysN // cysD	b2751
