gene,allele,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,bnum
Ecoli_C62137,Ecoli_C62137A100,199310.c4390,3.11e-182,508.0,"COG2992@1|root,COG2992@2|Bacteria,1RD3U@1224|Proteobacteria,1S3RA@1236|Gammaproteobacteria,3XN6F@561|Escherichia",2|Bacteria,S,amidase activity,bax,-,-,ko:K03796,-,-,-,-,ko00000,-,GH73,-,Glucosaminidase,b3570
Ecoli_C74943,Ecoli_C74943A0,316407.85674420,8.06e-176,489.0,"COG1061@1|root,COG1061@2|Bacteria,1QJX4@1224|Proteobacteria,1RYVR@1236|Gammaproteobacteria,3XQSI@561|Escherichia",2|Bacteria,KL,"type III restriction enzyme, res subunit",-,"GO:0008150,GO:0009314,GO:0009628,GO:0010165,GO:0010212,GO:0050896",3.1.21.5,ko:K01156,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,"DUF3427,DUF3854,Helicase_C,ResIII",b0276
Ecoli_C45553,Ecoli_C45553A2,316407.85675486,5.5800000000000006e-235,646.0,"2BVJ4@1|root,32QX4@2|Bacteria,1RKGE@1224|Proteobacteria,1S85A@1236|Gammaproteobacteria",2|Bacteria,-,-,yfjH,-,-,-,-,-,-,-,-,-,-,-,-,b2623
Ecoli_C64518,Ecoli_C64518A0,316407.85677044,1.4600000000000001e-195,541.0,"COG0434@1|root,COG0434@2|Bacteria,1Q83B@1224|Proteobacteria,1RYMH@1236|Gammaproteobacteria",2|Bacteria,S,BtpA family,sgcQ,-,-,ko:K06971,-,-,-,-,ko00000,-,-,-,BtpA,b4303
Ecoli_C5705,Ecoli_C5705A979,481805.EcolC_3946,0.0,1107.0,"COG1289@1|root,COG1289@2|Bacteria,1R0HK@1224|Proteobacteria,1RQSH@1236|Gammaproteobacteria,3XNXH@561|Escherichia",2|Bacteria,U,"Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride",mdtO,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006855,GO:0008150,GO:0015238,GO:0015546,GO:0015893,GO:0015906,GO:0016020,GO:0022857,GO:0042221,GO:0042493,GO:0042886,GO:0042887,GO:0042891,GO:0042895,GO:0042908,GO:0042910,GO:0044464,GO:0045117,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072348,GO:1901474,GO:1901682,GO:1902599",-,ko:K15547,-,-,-,-,"ko00000,ko02000",2.A.85.6.1,-,-,FUSC,b4081
Ecoli_C44354,Ecoli_C44354A0,155864.EDL933_0660,1.34e-215,598.0,"COG0609@1|root,COG0609@2|Bacteria,1MYYG@1224|Proteobacteria,1RRQ1@1236|Gammaproteobacteria,3XPEY@561|Escherichia",2|Bacteria,P,Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily,fepD,"GO:0000041,GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006826,GO:0008150,GO:0015343,GO:0015620,GO:0015682,GO:0015685,GO:0015688,GO:0015711,GO:0015850,GO:0015891,GO:0016020,GO:0022857,GO:0030001,GO:0042930,GO:0044464,GO:0044718,GO:0051179,GO:0051181,GO:0051184,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0072512,GO:1901678",-,ko:K02015,"ko02010,map02010",M00240,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.14,-,"iECH74115_1262.ECH74115_0675,iECO103_1326.ECO103_0598,iECP_1309.ECP_0163,iECSP_1301.ECSP_0644,iECUMN_1333.ECUMN_0684,iECs_1301.ECs0629,iEcHS_1320.EcHS_A0641,iG2583_1286.G2583_0753,iSBO_1134.SBO_0451,iSFV_1184.SFV_0538,iSbBS512_1146.SbBS512_E0492,iZ_1308.Z0732",FecCD,b0590
Ecoli_C61977,Ecoli_C61977A11,198214.SF2904,1.1900000000000001e-193,537.0,"COG1024@1|root,COG1024@2|Bacteria,1R3SQ@1224|Proteobacteria,1RR23@1236|Gammaproteobacteria",2|Bacteria,I,Belongs to the enoyl-CoA hydratase isomerase family,scpB,"GO:0003674,GO:0003824,GO:0004300,GO:0004492,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006629,GO:0006631,GO:0006635,GO:0008150,GO:0008152,GO:0009056,GO:0009062,GO:0009987,GO:0016042,GO:0016054,GO:0016829,GO:0016830,GO:0016831,GO:0016835,GO:0016836,GO:0019395,GO:0019752,GO:0030258,GO:0032787,GO:0034440,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0055114,GO:0071704,GO:0072329,GO:1901575",4.1.1.41,ko:K11264,"ko00640,map00640",-,R00923,RC00097,"ko00000,ko00001,ko01000",-,-,iSSON_1240.SSON_3070,ECH_1,b2919
Ecoli_C59069,Ecoli_C59069A162,198214.SF1595,9.36e-171,479.0,"28IUM@1|root,2Z8TA@2|Bacteria,1R524@1224|Proteobacteria,1RQH0@1236|Gammaproteobacteria",2|Bacteria,M,UPF0257 lipoprotein,ynfC,-,-,-,-,-,-,-,-,-,-,-,UPF0257,
Ecoli_C82864,Ecoli_C82864A119,155864.EDL933_3390,4.27e-122,352.0,"COG3234@1|root,COG3234@2|Bacteria,1R6VA@1224|Proteobacteria,1RXXS@1236|Gammaproteobacteria,3XNZE@561|Escherichia",2|Bacteria,S,Protein of unknown function (DUF1175),yfaT,-,-,ko:K09934,-,-,-,-,ko00000,-,-,-,DUF1175,
Ecoli_C32764,Ecoli_C32764A53,155864.EDL933_0964,7.349999999999999e-282,769.0,"COG2133@1|root,COG2133@2|Bacteria,1MV2E@1224|Proteobacteria,1RNGN@1236|Gammaproteobacteria,3XMGG@561|Escherichia",2|Bacteria,G,"Can oxidize glucose to gluconolactone. Can also utilize D-arabinose, L- arabinose and 2-deoxy-glucose. Has higher activity towards oligomeric sugars, such as maltose, maltotriose or cellobiose. It may function to input sugar-derived electrons into the respiratory network",yliI,"GO:0003674,GO:0003824,GO:0005488,GO:0005509,GO:0005575,GO:0005623,GO:0008150,GO:0008152,GO:0016491,GO:0016614,GO:0016901,GO:0019842,GO:0030288,GO:0030313,GO:0031406,GO:0031975,GO:0036094,GO:0042597,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0044464,GO:0046872,GO:0048037,GO:0048038,GO:0055114,GO:0070968,GO:0097159,GO:1901363",-,ko:K21430,-,-,-,-,"ko00000,ko01000",-,-,iSbBS512_1146.SbBS512_E2507,GSDH,b0837
Ecoli_C260086,Ecoli_C260086A9,155864.EDL933_2321,1.44e-31,110.0,"2DFM4@1|root,2ZS9G@2|Bacteria,1PAM6@1224|Proteobacteria,1SV9M@1236|Gammaproteobacteria",2|Bacteria,S,zinc ion binding,ydaE,"GO:0003674,GO:0005488,GO:0008270,GO:0043167,GO:0043169,GO:0046872,GO:0046914",-,-,-,-,-,-,-,-,-,-,RPAP2_Rtr1,b4526
Ecoli_C143073,Ecoli_C143073A851,362663.ECP_3016,2.43e-84,249.0,"2C4I5@1|root,2ZBQ0@2|Bacteria,1RAMC@1224|Proteobacteria,1S2T2@1236|Gammaproteobacteria",2|Bacteria,S,Escherichia coli O157 H7 ortholog z5091,-,-,-,ko:K18837,-,-,-,-,"ko00000,ko02048",-,-,-,CbtA_toxin,b2005
Ecoli_C29134,Ecoli_C29134A361,316407.1742349,1.43e-235,652.0,"COG3842@1|root,COG3842@2|Bacteria,1MU3I@1224|Proteobacteria,1RNPX@1236|Gammaproteobacteria,3XNK0@561|Escherichia",2|Bacteria,P,Belongs to the ABC transporter superfamily,ydcT,"GO:0000166,GO:0003674,GO:0003824,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0008144,GO:0008150,GO:0008324,GO:0008519,GO:0015075,GO:0015101,GO:0015203,GO:0015399,GO:0015405,GO:0015417,GO:0015595,GO:0015606,GO:0015695,GO:0015696,GO:0015846,GO:0015847,GO:0015848,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0022804,GO:0022857,GO:0030554,GO:0031224,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0034220,GO:0035639,GO:0036094,GO:0042623,GO:0042626,GO:0043167,GO:0043168,GO:0043190,GO:0043492,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072488,GO:0097159,GO:0097367,GO:0098533,GO:0098655,GO:0098796,GO:0098797,GO:1901265,GO:1901363,GO:1902047,GO:1902494,GO:1902495,GO:1903711,GO:1904949,GO:1990351",3.6.3.31,"ko:K02052,ko:K11072,ko:K11076","ko02010,ko02024,map02010,map02024","M00193,M00299,M00300",-,-,"ko00000,ko00001,ko00002,ko01000,ko02000","3.A.1.11,3.A.1.11.1,3.A.1.11.2",-,"iB21_1397.B21_01132,iECBD_1354.ECBD_2473,iECB_1328.ECB_01124,iECD_1391.ECD_01124,iECO111_1330.ECO111_1474,iECO26_1355.ECO26_1643,iEcHS_1320.EcHS_A1246,iEcolC_1368.EcolC_2477,iSBO_1134.SBO_1915,iSDY_1059.SDY_0740,iSSON_1240.SSON_1144,iSbBS512_1146.SbBS512_E1304,iUMNK88_1353.UMNK88_1456","ABC_tran,TOBE_2",b1441
Ecoli_C63614,Ecoli_C63614A251,362663.ECP_3233,8.200000000000001e-161,453.0,"COG0363@1|root,COG0363@2|Bacteria,1R8UH@1224|Proteobacteria,1RY0A@1236|Gammaproteobacteria,3XNZ8@561|Escherichia",2|Bacteria,G,galactosamine-6-phosphate isomerase activity,nagB,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0016853,GO:0016860,GO:0016861,GO:0043877,GO:0044424,GO:0044444,GO:0044464","3.1.1.31,3.5.99.6","ko:K01057,ko:K02080,ko:K02564","ko00030,ko00052,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map00052,map00520,map01100,map01110,map01120,map01130,map01200","M00004,M00006,M00008","R00765,R02035,R08365","RC00163,RC00537","ko00000,ko00001,ko00002,ko01000",-,-,"iB21_1397.B21_02959,iECB_1328.ECB_03008,iECD_1391.ECD_03008,iECNA114_1301.ECNA114_3225,iECSF_1327.ECSF_2979,iZ_1308.Z0825",Glucosamine_iso,b3141
Ecoli_C67928,Ecoli_C67928A83,198214.SF3769,1.39e-159,449.0,"COG2186@1|root,COG2186@2|Bacteria,1MV83@1224|Proteobacteria,1RSDC@1236|Gammaproteobacteria",2|Bacteria,K,transcriptional,dgoR,"GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141",-,ko:K19776,-,-,-,-,"ko00000,ko03000",-,-,-,"FCD,GntR",b4479
Ecoli_C113163,Ecoli_C113163A36,198214.SF3744,5.99e-96,281.0,"2ERDW@1|root,33IZG@2|Bacteria,1NJZ6@1224|Proteobacteria,1SID8@1236|Gammaproteobacteria",2|Bacteria,-,-,yieI,-,-,-,-,-,-,-,-,-,-,-,-,b3716
Ecoli_C169800,Ecoli_C169800A0,362663.ECP_4524,2.7300000000000002e-36,136.0,"COG2194@1|root,COG2194@2|Bacteria,1NHRY@1224|Proteobacteria,1RS8R@1236|Gammaproteobacteria,3XPEH@561|Escherichia",2|Bacteria,S,sulfuric ester hydrolase activity,eptA,"GO:0000271,GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009244,GO:0009311,GO:0009312,GO:0009987,GO:0016020,GO:0016051,GO:0016740,GO:0016772,GO:0016776,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044464,GO:0046401,GO:0071704,GO:0071944,GO:1901135,GO:1901137,GO:1901576,GO:1903509","2.7.8.42,2.7.8.43","ko:K03760,ko:K12975,ko:K19353","ko00540,ko01503,map00540,map01503","M00722,M00723","R11204,R11205,R11555,R11556,R11557","RC00002,RC00017,RC00428","ko00000,ko00001,ko00002,ko01000,ko01005",-,-,iSSON_1240.SSON_3844,"DUF1705,Sulfatase",
Ecoli_C210765,Ecoli_C210765A0,155864.EDL933_5676,7.38e-63,191.0,"2E4RX@1|root,32ZKF@2|Bacteria,1N7MK@1224|Proteobacteria,1SD2C@1236|Gammaproteobacteria,3XQ34@561|Escherichia",2|Bacteria,S,Protein of unknown function (DUF3343),-,-,-,-,-,-,-,-,-,-,-,-,DUF3343,b4715
Ecoli_C21817,Ecoli_C21817A42,155864.EDL933_3701,0.0,944.0,"COG4638@1|root,COG4638@2|Bacteria,1N6MJ@1224|Proteobacteria,1RNCN@1236|Gammaproteobacteria",2|Bacteria,P,"Part of the multicomponent 3-phenylpropionate dioxygenase. Converts 3-phenylpropionic acid (PP) and cinnamic acid (CI) into 3-phenylpropionate-dihydrodiol (PP-dihydrodiol) and cinnamic acid-dihydrodiol (CI-dihydrodiol), respectively",hcaE,"GO:0006082,GO:0006725,GO:0006805,GO:0008150,GO:0008152,GO:0009056,GO:0009410,GO:0009987,GO:0016054,GO:0016999,GO:0017001,GO:0017144,GO:0018962,GO:0019380,GO:0019439,GO:0019752,GO:0032787,GO:0042178,GO:0042221,GO:0042537,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0050896,GO:0051716,GO:0070887,GO:0071466,GO:0071704,GO:0072329,GO:1901360,GO:1901361,GO:1901575","1.14.12.11,1.14.12.18,1.14.12.19,1.14.12.3","ko:K03268,ko:K05708,ko:K08689","ko00360,ko00361,ko00362,ko00621,ko00623,ko00625,ko01100,ko01120,ko01220,map00360,map00361,map00362,map00621,map00623,map00625,map01100,map01120,map01220","M00543,M00545,M00547","R03543,R03559,R05261,R05262,R05263,R05264,R05429,R06782,R06783,R06831,R06856,R09151,R09152","RC00098,RC00267,RC00951,RC03011,RC03012,RC03013","br01602,ko00000,ko00001,ko00002,ko01000",-,-,iSFV_1184.SFV_2586,"Rieske,Ring_hydroxyl_A",b2538
Ecoli_C181200,Ecoli_C181200A41,316407.85676912,3.54e-70,211.0,"2E7B5@1|root,331UJ@2|Bacteria,1NEFT@1224|Proteobacteria,1SDVY@1236|Gammaproteobacteria,3XPV3@561|Escherichia",2|Bacteria,S,Protein of unknown function (DUF2645),yjeO,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,-,-,-,-,-,-,-,-,-,DUF2645,
Ecoli_C145805,Ecoli_C145805A90,362663.ECP_1880,4.499999999999999e-75,226.0,"COG1886@1|root,COG1886@2|Bacteria,1RGWT@1224|Proteobacteria,1S5YE@1236|Gammaproteobacteria,3XPJF@561|Escherichia",2|Bacteria,N,"FliN is one of three proteins (FliG, FliN, FliM) that form the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation",fliN,"GO:0005575,GO:0005623,GO:0005886,GO:0009288,GO:0009425,GO:0016020,GO:0042995,GO:0043226,GO:0043228,GO:0044422,GO:0044461,GO:0044463,GO:0044464,GO:0071944",-,ko:K02417,"ko02030,ko02040,map02030,map02040",-,-,-,"ko00000,ko00001,ko02035,ko02044","3.A.6.2,3.A.6.3",-,-,"CheC,FliMN_C,FliN_N",b1946
