,sample_id,study,project,reference_condition,reference_condition_old,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth_Phase,Growth Rate (1/hr),Isolate Type,Additional Details,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,PxK_sample_type,deleted_genes,mutated_genes,overexpressed_genes,passed_replicate_correlations,show_study,study_sort,qc_id
pmg_wt_320,Supp_D-Galacturonic acid_(2mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Galacturonic acid_(2mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Galacturonic acid_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-07-11-SBP-AVITI/PAL021_R1.fastq.gz,s3://sbrg-sequencing-files/2024-07-11-SBP-AVITI/PAL021_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Galacturonic acid_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0457
pmg_wt_321,Supp_N-Acetyl-Neuraminic acid_(2mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_N-Acetyl-Neuraminic acid_(2mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,N-Acetyl-Neuraminic acid_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-07-11-SBP-AVITI/PAL036_R1.fastq.gz,s3://sbrg-sequencing-files/2024-07-11-SBP-AVITI/PAL036_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_N-Acetyl-Neuraminic acid_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0458
pmg_wt_322,Supp_N-Acetyl-Neuraminic acid_(2mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_N-Acetyl-Neuraminic acid_(2mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,N-Acetyl-Neuraminic acid_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-07-11-SBP-AVITI/PAL037_R1.fastq.gz,s3://sbrg-sequencing-files/2024-07-11-SBP-AVITI/PAL037_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_N-Acetyl-Neuraminic acid_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0459
pmg_wt_323,Supp_b-Methyl-D-Galactoside_(2mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_b-Methyl-D-Galactoside_(2mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,b-Methyl-D-Galactoside_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-06-07-SBP-AVITI/PAL039_R1.fastq.gz,s3://sbrg-sequencing-files/2024-06-07-SBP-AVITI/PAL039_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_b-Methyl-D-Galactoside_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0460
pmg_wt_324,Supp_b-Methyl-D-Galactoside_(2mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_b-Methyl-D-Galactoside_(2mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,b-Methyl-D-Galactoside_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-06-07-SBP-AVITI/PAL040_R1.fastq.gz,s3://sbrg-sequencing-files/2024-06-07-SBP-AVITI/PAL040_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_b-Methyl-D-Galactoside_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0461
pmg_wt_325,Supp_D-Glucuronic acid_(2mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Glucuronic acid_(2mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Glucuronic acid_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL028_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL028_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Glucuronic acid_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0462
pmg_wt_326,Supp_D-Glucuronic acid_(2mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Glucuronic acid_(2mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Glucuronic acid_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL027_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL027_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Glucuronic acid_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0463
pmg_wt_327,Supp_L-Rhamnose_(2mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_L-Rhamnose_(2mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,L-Rhamnose_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-05-13-TSRI AVITI/PAL031_R1.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-05-13-TSRI AVITI/PAL031_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_L-Rhamnose_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0464
pmg_wt_328,Supp_L-Rhamnose_(2mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_L-Rhamnose_(2mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,L-Rhamnose_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-05-13-TSRI AVITI/PAL032_R1.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-05-13-TSRI AVITI/PAL032_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_L-Rhamnose_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0465
pmg_wt_329,Supp_a-D-Lactose_(2mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_a-D-Lactose_(2mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,a-D-Lactose_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-07-11-SBP-AVITI/PAL022_R1.fastq.gz,s3://sbrg-sequencing-files/2024-07-11-SBP-AVITI/PAL022_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_a-D-Lactose_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0466
pmg_wt_330,Supp_a-D-Lactose_(2mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_a-D-Lactose_(2mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,a-D-Lactose_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-07-11-SBP-AVITI/PAL023_R1.fastq.gz,s3://sbrg-sequencing-files/2024-07-11-SBP-AVITI/PAL023_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_a-D-Lactose_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0467
pmg_wt_331,Supp_Glycine_(2mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_Glycine_(2mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,Glycine_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/07id07_S7_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/07id07_S7_L001_R2_001.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_Glycine_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0470
pmg_wt_332,Supp_Glycine_(2mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_Glycine_(2mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,Glycine_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/08id08_S8_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/08id08_S8_L001_R2_001.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_Glycine_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0471
pmg_wt_333,Supp_Mucic acid_(2mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_Mucic acid_(2mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,Mucic acid_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-06-07-SBP-AVITI/PAL041_R1.fastq.gz,s3://sbrg-sequencing-files/2024-06-07-SBP-AVITI/PAL041_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_Mucic acid_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0472
pmg_wt_334,Supp_Mucic acid_(2mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_Mucic acid_(2mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,Mucic acid_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-06-07-SBP-AVITI/PAL042_R1.fastq.gz,s3://sbrg-sequencing-files/2024-06-07-SBP-AVITI/PAL042_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_Mucic acid_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0473
pmg_wt_335,Supp_Putrescine_(2mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_Putrescine_(2mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,Putrescine_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL080_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL080_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_Putrescine_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0476
pmg_wt_336,Supp_Putrescine_(2mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_Putrescine_(2mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,Putrescine_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL081_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL081_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_Putrescine_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0477
pmg_wt_337,Supp_g-Amino-N-Butyric acid_(2mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_g-Amino-N-Butyric acid_(2mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,g-Amino-N-Butyric acid_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL092_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL092_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_g-Amino-N-Butyric acid_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0478
pmg_wt_338,Supp_g-Amino-N-Butyric acid_(2mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_g-Amino-N-Butyric acid_(2mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,g-Amino-N-Butyric acid_(2mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL093_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL093_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_g-Amino-N-Butyric acid_(2mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0479
pmg_wt_339,Supp_D-Saccharic acid_(10mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Saccharic acid_(10mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Saccharic acid_(10mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/34id34_S34_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/34id34_S34_L001_R2_001.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Saccharic acid_(10mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0480
pmg_wt_340,Supp_D-Saccharic acid_(10mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Saccharic acid_(10mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Saccharic acid_(10mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/41id41_S41_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/41id41_S41_L001_R2_001.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Saccharic acid_(10mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0481
pmg_wt_341,Supp_D-Galactose_(10mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Galactose_(10mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Galactose_(10mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/42id42_S42_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/42id42_S42_L001_R2_001.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Galactose_(10mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0482
pmg_wt_342,Supp_D-Galactose_(10mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Galactose_(10mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Galactose_(10mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/35id35_S35_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-18-Second Library Pool TSRI AVITI/35id35_S35_L001_R2_001.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Galactose_(10mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0483
pmg_wt_343,Supp_D-Trehalose_(10mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Trehalose_(10mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Trehalose_(10mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL030_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL030_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Trehalose_(10mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0484
pmg_wt_344,Supp_D-Trehalose_(10mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Trehalose_(10mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Trehalose_(10mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL029_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL029_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Trehalose_(10mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0485
pmg_wt_345,Supp_D-Mannose_(10mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Mannose_(10mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Mannose_(10mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL032_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL032_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Mannose_(10mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0486
pmg_wt_346,Supp_D-Mannose_(10mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Mannose_(10mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Mannose_(10mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL031_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL031_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Mannose_(10mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0487
pmg_wt_347,Supp_D-Sorbitol_(10mM)_1,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Sorbitol_(10mM),1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Sorbitol_(10mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL034_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL034_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Sorbitol_(10mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0488
pmg_wt_348,Supp_D-Sorbitol_(10mM)_2,single_nutrient_perturbation,SNPv2,pmg_wt_145;pmg_wt_146,Glucose_NH4Cl,Supp_D-Sorbitol_(10mM),2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,Glucose(5),NH4Cl(1),O2,Sauer trace element mixture,D-Sorbitol_(10mM),,,,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273601,,,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL033_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-04-SBP-AVITI/PAL033_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv2:Supp_D-Sorbitol_(10mM),,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0489
pmg_wt_349,MG1655_stationary_3h_GlcM9_Rep1,stationary,TRN,pmg_wt_349;pmg_wt_350,stationary_C_3h,stationary_C_3h,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,sauer trace element mixture,MgSO4(2 mM),,stationary,,,,Nova Seq,PAIRED,ILLUMINA,2,https://doi.org/10.1128/msystems.01315-24,GSE226643,,,s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_3h_GlcM9_Rep1_S3_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_3h_GlcM9_Rep1_S3_L001_R2_001.fastq.gz,Hyungyu Lim,Hyungyu Lim,TRUE,,TRUE,TRUE,TRN:stationary_C_3h,,,2/1/2022,,WT,,,,TRUE,stationary,0,pxk_0014
pmg_wt_350,MG1655_stationary_3h_GlcM9_Rep2,stationary,TRN,pmg_wt_349;pmg_wt_350,stationary_C_3h,stationary_C_3h,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(1),O2,sauer trace element mixture,MgSO4(2 mM),,stationary,,,,Nova Seq,PAIRED,ILLUMINA,2,https://doi.org/10.1128/msystems.01315-24,GSE226643,,,s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_3h_GlcM9_Rep2_S4_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_3h_GlcM9_Rep2_S4_L001_R2_001.fastq.gz,Hyungyu Lim,Hyungyu Lim,TRUE,,TRUE,TRUE,TRN:stationary_C_3h,,,2/1/2022,,WT,,,,TRUE,stationary,0,pxk_0015
pmg_wt_351,MG1655_stationary_3h_GlcM9_N_Rep1,stationary,TRN,pmg_wt_349;pmg_wt_350,stationary_C_3h,stationary_N_3h,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose,NH4Cl(0.06),O2,sauer trace element mixture,MgSO4(2 mM),,stationary,,,,Nova Seq,PAIRED,ILLUMINA,2,https://doi.org/10.1128/msystems.01315-24,GSE226643,,,s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_3h_GlcM9_N_Rep1_S5_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-02-08-IGM-NovaSeq/MG1655_stationary_3h_GlcM9_N_Rep1_S5_L001_R2_001.fastq.gz,Hyungyu Lim,Hyungyu Lim,TRUE,,TRUE,TRUE,TRN:stationary_N_3h,,,2/1/2022,,WT,,,,TRUE,stationary,0,pxk_0016
